#MZ SEK INT
355.8770 530 0.0485
368.8696 530 0.2635
391.2690 530 0.0000
430.6028 530 0.9189
445.2309 530 0.0003
457.5941 530 0.8160
475.3629 530 0.4743
528.9387 530 0.7508
533.3118 530 0.0485
552.8008 530 0.2635
601.9646 530 0.0005
645.4006 530 0.9189
667.3427 530 0.0003
685.8876 530 0.8160
694.8274 530 0.4395
792.9045 530 0.7508
902.4433 530 0.0005
1065.6164 530 0.0485
1104.5942 530 0.2635
1162.3014 530 0.1938
249.1883 532 0.0039
271.2632 532 0.3480
323.2040 532 0.6559
355.8770 532 0.0062
368.8696 532 0.4144
391.2690 532 0.0084
430.6028 532 0.6559
445.2309 532 0.0000
457.5941 532 0.3977
475.3629 532 0.5489
528.9387 532 1.0084
533.3118 532 0.0062
552.8008 532 0.4144
601.9646 532 0.0036
645.4006 532 0.6559
667.3427 532 0.0000
685.8876 532 0.3977
694.8274 532 0.1521
763.3419 532 0.0004
792.9045 532 1.0084
902.4433 532 0.0036
1065.6164 532 0.0062
1104.5942 532 0.4144
1162.3014 532 0.4093
249.1883 534 0.0001
271.2632 534 0.5196
323.2040 534 0.2632
355.8770 534 0.0004
368.8696 534 0.6061
391.2690 534 0.3681
430.6028 534 0.2632
457.5941 534 0.1095
475.3629 534 0.6247
528.9387 534 0.9203
533.3118 534 0.0004
552.8008 534 0.6061
601.9646 534 0.0200
645.4006 534 0.2632
685.8876 534 0.1095
694.8274 534 0.0329
763.3419 534 0.0051
792.9045 534 0.9203
902.4433 534 0.0200
1065.6164 534 0.0004
1104.5942 534 0.6061
1162.3014 534 0.7029
251.2006 536 0.0002
271.2632 536 0.7018
279.0933 536 0.0000
323.2040 536 0.0482
355.8770 536 0.0000
368.8696 536 0.8088
391.2690 536 0.5852
430.6028 536 0.0482
457.5941 536 0.0183
475.3629 536 0.6991
528.9387 536 0.5454
533.3118 536 0.0000
552.8008 536 0.8088
601.9646 536 0.0833
645.4006 536 0.0482
685.8876 536 0.0183
694.8274 536 0.0043
728.8570 536 0.0001
763.3419 536 0.0370
792.9045 536 0.5454
902.4433 536 0.0833
1065.6164 536 0.0000
1104.5942 536 0.8088
1162.3014 536 0.9502
251.2006 538 0.0016
271.2632 538 0.8573
279.0933 538 0.0001
323.2040 538 0.0028
368.8696 538 0.9584
391.2690 538 0.2369
430.6028 538 0.0028
457.5941 538 0.0020
475.3629 538 0.7695
528.9387 538 0.1983
552.8008 538 0.9584
601.9646 538 0.2537
645.4006 538 0.0028
685.8876 538 0.0020
694.8274 538 0.0003
728.8570 538 0.0010
763.3419 538 0.1712
792.9045 538 0.1983
902.4433 538 0.2537
1104.5942 538 0.9584
1162.3014 538 0.9717
251.2006 540 0.0083
271.2632 540 0.9475
279.0933 540 0.0012
323.2040 540 0.0000
368.8696 540 0.9707
391.2690 540 0.0027
430.6028 540 0.0000
457.5941 540 0.0001
475.3629 540 0.8329
528.9387 540 0.0413
552.8008 540 0.9707
601.9646 540 0.5613
645.4006 540 0.0000
685.8876 540 0.0001
694.8274 540 0.0000
728.8570 540 0.0109
763.3419 540 0.5014
792.9045 540 0.0413
902.4433 540 0.5613
1104.5942 540 0.9707
1162.3014 540 0.7146
251.2006 542 0.0339
271.2632 542 0.9474
279.0933 542 0.0098
368.8696 542 0.7944
391.2690 542 0.0000
457.5941 542 0.0000
475.3629 542 0.8866
528.9387 542 0.0045
538.2741 542 0.0001
552.8008 542 0.7944
601.9646 542 0.8965
685.8876 542 0.0000
694.8274 542 0.0000
728.8570 542 0.0687
763.3419 542 0.9243
792.9045 542 0.0045
806.9075 542 0.0001
902.4433 542 0.8965
1104.5942 542 0.7944
1162.3014 542 0.3542
251.2006 544 0.1082
271.2632 544 0.8571
279.0933 544 0.0545
368.8696 544 0.4818
475.3629 544 0.9281
528.9387 544 0.0002
538.2741 544 0.0008
552.8008 544 0.4818
601.9646 544 1.0280
728.8570 544 0.2627
763.3419 544 1.0684
792.9045 544 0.0002
806.9075 544 0.0008
902.4433 544 1.0280
1104.5942 544 0.4818
1162.3014 544 0.1086
251.2006 546 0.2692
271.2632 546 0.7016
279.0933 546 0.2018
357.8889 546 0.0001
368.8696 546 0.1880
475.3629 546 0.9554
528.9387 546 0.0000
538.2741 546 0.0068
552.8008 546 0.1880
601.9646 546 0.8419
728.8570 546 0.6304
763.3419 546 0.7740
792.9045 546 0.0000
806.9075 546 0.0068
902.4433 546 0.8419
1071.6521 546 0.0001
1104.5942 546 0.1880
1162.3014 546 0.0184
251.2006 548 0.5222
271.2632 548 0.5197
279.0933 548 0.4981
357.8889 548 0.0018
368.8696 548 0.0367
475.3629 548 0.9673
538.2741 548 0.0393
552.8008 548 0.0367
601.9646 548 0.4900
728.8570 548 0.9677
763.3419 548 0.3520
806.9075 548 0.0393
902.4433 548 0.4900
1071.6521 548 0.0018
1104.5942 548 0.0367
1162.3014 548 0.0015
251.2006 550 0.7901
271.2632 550 0.3484
279.0933 550 0.8231
357.8889 550 0.0156
368.8696 550 0.0021
475.3629 550 0.9630
480.9363 550 0.0004
538.2741 550 0.1510
552.8008 550 0.0021
601.9646 550 0.2015
720.9009 550 0.0004
728.8570 550 0.9611
763.3419 550 0.1004
806.9075 550 0.1510
902.4433 550 0.2015
1071.6521 550 0.0156
1104.5942 550 0.0021
1162.3014 550 0.0000
251.2006 552 0.9318
271.2632 552 0.2114
279.0933 552 0.9162
357.8889 552 0.0836
368.8696 552 0.0000
475.3629 552 0.9429
480.9363 552 0.0047
538.2741 552 0.3996
552.8008 552 0.0000
584.6127 552 0.0000
601.9646 552 0.0581
720.9009 552 0.0047
728.8570 552 0.6228
763.3419 552 0.0178
802.0708 552 0.0000
806.9075 552 0.3996
876.4154 552 0.0000
902.4433 552 0.0581
1071.6521 552 0.0836
1104.5942 552 0.0000
1162.3014 552 0.0000
251.2006 554 0.8557
271.2632 554 0.1161
279.0933 554 0.6917
352.1652 554 0.0000
357.8889 554 0.2854
368.8696 554 0.0000
475.3629 554 0.9079
480.9363 554 0.0363
512.0151 554 0.0003
536.3297 554 0.2854
538.2741 554 0.7502
552.8008 554 0.0000
584.6127 554 0.0002
601.8049 554 0.0051
601.9646 554 0.0116
682.3510 554 0.0003
703.3232 554 0.0000
720.9009 554 0.0363
728.8570 554 0.2656
763.3419 554 0.0019
802.0708 554 0.0051
806.9075 554 0.7502
876.4154 554 0.0002
902.4433 554 0.0116
1023.0229 554 0.0003
1071.6521 554 0.2854
1104.5942 554 0.0000
271.2632 556 0.0577
279.0933 556 0.3565
352.1652 556 0.0001
357.8889 556 0.6322
475.3629 556 0.8597
480.9363 556 0.1729
512.0151 556 0.0033
536.3297 556 0.6322
538.2741 556 1.0265
584.6127 556 0.0013
601.8049 556 0.0870
682.3510 556 0.0033
703.3232 556 0.0001
720.9009 556 0.1729
728.8570 556 0.0753
763.3419 556 0.0001
802.0708 556 0.0870
806.9075 556 1.0265
876.4154 556 0.0013
902.4433 556 0.0016
1023.0229 556 0.0033
1071.6521 556 0.6322
271.2632 558 0.0260
279.0933 558 0.1261
352.1652 558 0.0009
357.8889 558 0.9257
475.3629 558 0.8006
480.9363 558 0.5057
512.0151 558 0.0263
538.2741 558 1.0490
536.3297 558 0.9257
584.6127 558 0.0057
601.8049 558 0.4042
682.3510 558 0.0263
703.3232 558 0.0009
720.9009 558 0.5057
728.8570 558 0.0144
763.3419 558 0.0000
802.0708 558 0.4042
806.9075 558 1.0490
876.4154 558 0.0057
902.4433 558 0.0001
1023.0229 558 0.0263
1071.6521 558 0.9257
271.2632 560 0.0106
279.0933 560 0.0306
352.1652 560 0.0060
357.8889 560 0.9098
468.2523 560 0.0000
480.9363 560 0.9076
512.0151 560 0.1296
538.2741 560 0.8185
