peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
206	0	399.76301	184236	0.0068	100	-1
207	0	399.87298	85686	0.0071	100	398
208	0	399.90399	116071	0.0081	100	350
209	0	400.03416	172745	0.0058	100	-1
210	0	400.22084	76729	0.0072	100	-1
211	0	400.23966	1479200	0.0064	100	350
212	0	400.57383	868293	0.0065	100	41
213	0	400.71992	5503335	0.0064	100	6
214	0	400.90809	343599	0.0068	100	41
215	0	401.22136	2160396	0.0064	100	6
216	0	401.24081	155185	0.0061	100	41
217	0	401.25714	1632394	0.0064	100	39
218	0	401.28681	216575	0.0062	100	-1
219	0	401.72327	328906	0.0078	100	6
220	0	401.75892	739959	0.0065	100	39
221	0	402.20833	164941	0.0052	100	-1
222	0	402.26018	127761	0.0062	100	39
223	0	403.22997	176213	0.006	100	-1
224	0	403.25191	98659	0.0079	100	-1
225	0	404.22129	609688	0.0067	14.63	156
226	0	404.23449	270583	0.0064	6.49	345
227	0	404.72286	316805	0.0066	19.59	156
228	0	404.7357	123774	0.0065	7.65	-1
229	0	405.71025	172936	0.007	100	-1
230	0	405.7392	1201446	0.0067	100	57
231	0	406.20891	109336	0.0081	100	-1
232	0	406.24126	629696	0.0067	100	57
233	0	406.7471	175666	0.007	100	57
234	0	407.26426	108887	0.0082	100	-1
235	0	407.73443	95862	0.0059	100	-1
236	0	407.74608	225862	0.0062	100	384
237	0	408.01047	310373	0.0064	100	-1
238	0	408.18016	241215	0.007	100	-1
239	0	408.22363	179559	0.0056	100	-1
240	0	408.24345	408571	0.0071	100	384
241	0	408.27105	247858	0.0062	100	-1
242	0	408.57737	328624	0.0068	100	241
243	0	408.76243	1104020	0.0065	100	71
244	0	408.91231	80603	0.0078	100	241
245	0	409.23462	118416	0.0064	9.06	-1
246	0	409.24504	241126	0.0057	18.46	241
247	0	409.26384	532363	0.0063	100	71
248	0	409.72355	235032	0.0059	100	376
249	0	409.74695	120324	0.0092	100	-1
250	0	409.76599	214008	0.0064	100	71
251	0	410.22459	482074	0.0063	100	204
252	0	410.69076	126142	0.0082	100	-1
253	0	410.72636	326915	0.0068	100	376
254	0	411.23096	126326	0.0087	100	204
255	0	411.72026	398714	0.0073	100	376
256	0	412.22157	149042	0.006	100	-1
257	0	412.72376	810370	0.007	100	112
258	0	412.75264	169251	0.0066	100	-1
259	0	413.21355	201643	0.0068	100	112
260	0	413.22608	187047	0.0061	100	-1
261	0	413.24662	116744	0.0098	100	-1
262	0	413.70798	90921	0.0076	100	112
263	0	413.7489	93611	0.0078	100	-1
264	0	413.85031	109051	0.0084	100	-1
265	0	414.57128	133432	0.008	100	-1
266	0	414.75138	223750	0.0069	100	385
267	0	415.25179	108031	0.0075	100	385
268	0	415.76208	81778	0.0079	100	385
269	0	416.25012	775343	0.0065	9.01	117
270	0	416.26204	224972	0.0074	2.61	385
271	0	416.74059	1196294	0.0069	3.8	58
272	0	416.75126	391653	0.0188	1.24	117
273	0	417.23345	1158920	0.0067	5.22	58
274	0	417.24408	305103	0.0195	1.37	117
275	0	417.70418	160574	0.0062	100	-1
276	0	417.72619	167173	0.0057	2.29	-1
277	0	417.73653	328209	0.0061	4.5	117
278	0	417.90177	111897	0.0081	100	-1
279	0	418.20522	148344	0.0066	100	-1
280	0	418.24844	114762	0.0071	100	58
281	0	418.56348	98517	0.0073	100	-1
282	0	419.21674	254915	0.0066	100	361
283	0	419.23984	325357	0.0067	100	-1
284	0	419.59387	546778	0.0069	100	178
285	0	419.71764	92009	0.0087	100	361
286	0	419.9287	265968	0.0067	100	178
287	0	420.7868	361353	0.0069	100	270
288	0	421.28786	194079	0.0065	100	270
289	0	422.76133	117972	0.0087	100	-1
290	0	422.8945	741392	0.007	100	125
291	0	423.2283	246218	0.0067	4.14	125
292	0	423.24007	157224	0.0083	2.64	-1
293	0	423.72785	218580	0.007	100	-1
294	0	423.7461	78230	0.0073	8.12	-1
295	0	423.75776	290042	0.0067	30.09	-1
296	0	423.8973	123095	0.0083	100	-1
297	0	423.96952	106967	0.009	100	-1
298	0	424.22832	105229	0.0068	100	-1
299	0	424.25815	206324	0.0065	100	406
300	0	424.50786	95152	0.0081	100	406
301	0	424.71078	166935	0.0064	100	-1
302	0	424.72383	113467	0.0077	100	-1
303	0	424.74712	284289	0.0065	100	-1
304	0	424.75953	124726	0.0066	100	406
305	0	425.22447	129795	0.0088	100	-1
306	0	426.88154	378631	0.0068	100	-1
307	0	426.89752	342633	0.0068	3.91	289
308	0	426.91013	734384	0.0069	8.39	128
309	0	427.23152	255938	0.0077	4.02	289
310	0	427.24433	369678	0.0066	5.81	128
311	0	427.56687	99573	0.0076	12.74	289
312	0	427.57871	175048	0.0064	22.4	128
313	0	428.26044	275571	0.0068	100	342
314	0	428.27448	117099	0.007	100	-1
315	0	428.57299	91297	0.009	100	-1
316	0	428.74981	81947	0.0083	100	-1
317	0	428.76515	108770	0.0104	100	342
318	0	429.22772	73318	0.009	100	-1
319	0	430.23842	958923	0.0074	100	91
320	0	430.27853	80921	0.0082	100	-1
321	0	430.73934	306827	0.0069	22.04	91
322	0	430.75378	214416	0.0072	15.4	-1
323	0	430.88868	93933	0.0087	100	-1
324	0	431.20213	263133	0.007	100	354
325	0	431.24507	86168	0.0073	100	91
326	0	431.70482	87838	0.0076	100	354
327	0	432.23928	150177	0.0074	100	-1
328	0	432.25264	88025	0.009	100	-1
329	0	432.57754	186501	0.0076	100	-1
330	0	432.72139	277764	0.0069	100	338
331	0	432.74652	86265	0.0092	100	-1
332	0	432.76233	190619	0.0073	100	-1
333	0	432.86741	78845	0.0085	100	-1
334	0	433.2253	370622	0.0069	100	338
335	0	433.2545	156517	0.0065	100	-1
336	0	433.72722	298585	0.0073	100	338
337	0	433.75587	131898	0.0097	100	-1
338	0	434.23977	261874	0.0066	100	338
339	0	434.25261	94756	0.0069	100	-1
340	0	434.73075	181994	0.0061	4.8	264
341	0	434.74194	158309	0.0071	4.18	-1
342	0	434.76486	104209	0.0091	100	-1
343	0	435.23336	100561	0.008	100	-1
344	0	435.25727	468470	0.0069	100	210
345	0	435.73655	206935	0.0065	100	404
346	0	435.75951	146887	0.006	100	210
347	0	435.77327	300999	0.0067	100	315
348	0	436.27538	109568	0.0082	100	315
349	0	436.70172	957655	0.0074	100	92
350	0	436.75475	195432	0.0077	100	-1
351	0	436.77689	91506	0.0081	100	315
352	0	437.20408	559335	0.0071	100	92
353	0	437.23216	1391033	0.0075	100	45
354	0	437.27388	132108	0.0083	100	315
355	0	437.66155	88960	0.0081	100	-1
356	0	437.70289	104972	0.0105	100	92
357	0	437.73374	498142	0.0071	100	45
358	0	437.86082	104890	0.009	100	-1
359	0	438.72589	129117	0.009	100	-1
360	0	438.74584	462239	0.0074	100	213
361	0	439.22892	88519	0.0086	100	-1
362	0	439.24802	245195	0.0076	100	213
363	0	439.75262	169101	0.0078	100	213
364	0	440.7196	230270	0.0069	100	379
365	0	441.21965	221366	0.0073	100	379
366	0	441.24433	115618	0.0081	100	-1
367	0	441.26851	181202	0.0059	2.18	-1
368	0	441.27772	137544	0.0145	1.66	-1
369	0	441.70491	91364	0.0086	100	-1
370	0	441.76963	120499	0.0084	100	-1
371	0	441.91718	110526	0.0091	100	-1
372	0	442.2536	105920	0.0078	100	-1
373	0	442.75728	97684	0.0097	100	-1
374	0	442.87788	119108	0.0098	100	-1
375	0	442.89195	85923	0.0096	100	-1
376	0	443.23308	115492	0.0138	100	-1
377	0	443.26077	459752	0.0085	100	214
378	0	443.54851	90827	0.0105	100	-1
379	0	443.56419	195284	0.0073	100	-1
380	0	443.76338	237091	0.0069	100	214
381	0	443.89878	113244	0.0067	100	-1
382	0	443.91111	116854	0.0059	100	-1
383	0	444.19072	117019	0.009	100	-1
384	0	444.23163	133830	0.006	100	-1
385	0	444.58098	163623	0.0078	100	-1
386	0	444.91187	164636	0.0085	100	-1
387	0	444.95801	76426	0.0081	100	-1
388	0	445.25191	90783	0.0099	100	-1
389	0	445.26942	83228	0.0087	100	-1
390	0	445.49689	87178	0.0087	100	-1
391	0	445.55223	83646	0.0089	100	-1
392	0	445.7311	1066208	0.0078	100	73
393	0	445.75857	887542	0.0084	100	102
394	0	445.77279	133406	0.0069	100	-1
395	0	445.88477	86739	0.0089	100	-1
396	0	446.23219	532214	0.0075	4.96	73
397	0	446.24504	527559	0.0072	9.6	102
398	0	446.25882	343280	0.0083	6.25	-1
399	0	446.57968	497993	0.0072	100	196
400	0	446.71959	125481	0.0075	100	73
401	0	446.74445	125418	0.0082	100	196
402	0	446.75975	264822	0.007	100	102
403	0	446.91357	182707	0.0077	100	196
404	0	447.23719	910205	0.0077	100	98
405	0	447.27016	84297	0.0088	100	102
406	0	447.4385	1003688	0.0076	100	98
407	0	447.55049	1032689	0.0079	100	80
408	0	447.63863	1235299	0.0076	100	98
409	0	447.83944	465327	0.0075	100	98
410	0	447.88547	461124	0.008	100	80
411	0	448.00425	101195	0.0093	100	-1
412	0	448.03973	290430	0.0075	100	98
413	0	448.21845	294928	0.0082	100	80
414	0	448.24093	73754	0.0075	100	98
415	0	448.25476	255125	0.0077	100	55
416	0	448.27124	162808	0.0068	100	-1
417	0	448.77177	98737	0.0085	100	-1
418	0	448.88274	130075	0.011	100	-1
419	0	448.92587	384940	0.0075	100	-1
420	0	449.22839	114195	0.0097	100	-1
421	0	449.25967	473963	0.0075	7.22	209
422	0	449.27365	299876	0.0073	4.57	317
423	0	449.71826	167796	0.0076	100	-1
424	0	449.73663	262967	0.0073	100	355
425	0	449.77677	127149	0.0097	1.97	317
426	0	449.78132	72882	0.0126	1.13	-1
427	0	449.79628	173120	0.0085	100	-1
428	0	450.23756	185238	0.0073	100	355
429	0	450.26305	171074	0.0075	100	209
430	0	450.28708	169153	0.0068	100	317
431	0	450.76217	263498	0.0086	100	-1
432	0	450.78744	77648	0.0089	100	317
433	0	451.22809	277734	0.0072	100	339
434	0	451.25176	200401	0.0072	100	209
435	0	451.73186	120131	0.011	100	339
436	0	451.7579	674590	0.0078	100	139
437	0	452.21576	86708	0.0083	100	-1
438	0	452.25691	633745	0.0082	100	139
439	0	452.27924	90396	0.0081	100	-1
440	0	452.60197	343963	0.0079	100	287
441	0	452.7577	403308	0.0078	100	139
442	0	452.88967	99627	0.0088	100	-1
443	0	452.93865	81740	0.0085	100	287
444	0	453.22803	100561	0.0088	100	-1
445	0	453.25908	162938	0.0087	100	287
446	0	453.73819	122254	0.0103	100	387
447	0	453.75451	97459	0.0104	100	-1
448	0	454.23453	219472	0.0078	100	387
449	0	454.27725	196425	0.0072	100	-1
450	0	454.59706	106889	0.009	100	-1
451	0	454.75367	290214	0.0085	100	327
452	0	454.77857	105058	0.0113	100	-1
453	0	455.23471	414307	0.0079	100	237
454	0	455.25434	229071	0.0083	100	327
455	0	455.73447	186199	0.006	100	237
456	0	456.23264	183985	0.0069	100	237
457	0	456.25239	84034	0.0115	100	-1
458	0	456.57836	74955	0.0093	100	-1
459	0	456.74987	992489	0.0082	100	237
460	0	457.01947	97118	0.0095	100	-1
461	0	457.25345	691202	0.0081	100	86
462	0	457.26949	117474	0.0083	100	-1
463	0	457.2892	209174	0.0081	100	402
464	0	457.58179	132702	0.0125	100	-1
465	0	457.75531	374770	0.008	100	86
466	0	457.78184	725785	0.0101	100	402
467	0	457.91134	898161	0.0083	100	-1
468	0	457.93185	103688	0.0096	100	-1
469	0	458.24526	571136	0.0083	100	86
470	0	458.27768	364549	0.0105	100	402
471	0	458.50369	126300	0.0092	100	-1
472	0	458.57978	241499	0.008	100	305
473	0	458.59731	362697	0.0076	100	-1
474	0	458.73972	87688	0.0104	2.23	-1
475	0	458.75418	309455	0.0078	7.87	305
476	0	458.77077	266348	0.0072	4.0	129
477	0	458.78315	173122	0.0095	2.6	402
478	0	458.91792	85316	0.0081	100	-1
479	0	458.93165	220425	0.0074	100	305
480	0	459.02957	92293	0.0084	100	-1
481	0	459.22932	239443	0.0072	100	-1
482	0	459.26797	103551	0.0153	100	129
483	0	459.58938	84906	0.0085	100	-1
484	0	459.63002	75467	0.0089	100	-1
485	0	459.90829	302542	0.0079	100	312
486	0	460.24531	217578	0.0077	100	312
487	0	460.28392	350276	0.0077	100	284
488	0	460.56855	119131	0.0124	100	312
489	0	460.71054	276078	0.0078	100	341
490	0	460.73472	165153	0.0072	4.39	-1
491	0	460.74879	98429	0.01	2.62	-1
492	0	460.76557	92009	0.0109	100	-1
493	0	460.78531	247915	0.0077	100	284
494	0	461.21281	131133	0.0099	100	341
495	0	461.25622	181245	0.0076	100	-1
496	0	461.27301	154624	0.0074	3.36	284
497	0	461.2862	114307	0.0094	2.48	-1
498	0	461.7763	110875	0.0093	100	284
499	0	461.92366	203493	0.0072	100	-1
500	0	462.23522	457215	0.0077	100	217
501	0	462.25805	213751	0.0075	100	396
502	0	462.73786	294383	0.0083	100	217
503	0	462.93332	109440	0.0093	100	-1
504	0	463.10558	1984093	0.0081	100	32
505	0	463.23933	187171	0.0075	100	217
506	0	463.54559	118651	0.0092	100	-1
507	0	463.57574	124498	0.0078	100	-1
508	0	463.59223	338502	0.0084	100	291
509	0	463.92684	215305	0.0075	100	291
510	0	464.10858	450669	0.0081	100	32
511	0	464.18994	94146	0.009	100	-1
512	0	464.22753	210908	0.0101	100	399
513	0	464.24647	1053278	0.0081	16.5	76
514	0	464.26021	102654	0.0258	1.61	291
515	0	464.28594	270410	0.0077	100	347
516	0	464.47928	117671	0.0097	100	347
517	0	464.72799	210005	0.0096	100	399
518	0	464.74771	609931	0.0081	100	76
519	0	464.77538	112012	0.0101	100	405
520	0	465.10097	346947	0.0079	100	32
521	0	465.27545	206462	0.01	100	405
522	0	465.56801	388588	0.008	100	252
523	0	465.75324	95945	0.0095	100	-1
524	0	465.90203	212354	0.0075	100	252
525	0	466.2198	185586	0.008	100	-1
526	0	466.23592	161299	0.0073	100	252
527	0	466.91736	116808	0.0089	100	-1
528	0	467.24328	105155	0.0087	100	-1
529	0	467.71842	356173	0.0079	100	275
530	0	467.75249	204383	0.0074	100	-1
531	0	468.22004	294294	0.008	4.26	275
532	0	468.23549	508278	0.0085	7.35	189
533	0	468.58571	199427	0.0086	100	-1
534	0	468.73379	343228	0.0087	100	275
535	0	469.23346	95741	0.0095	100	275
536	0	469.59978	145488	0.008	100	-1
537	0	469.72307	202739	0.0087	100	189
538	0	469.79275	187536	0.0079	100	-1
539	0	470.22869	103471	0.0112	100	-1
540	0	470.59479	121969	0.0088	100	-1
541	0	470.78152	291987	0.0082	100	-1
542	0	470.92849	223539	0.0079	100	-1
543	0	471.28036	118823	0.0111	100	-1
544	0	472.27304	112000	0.0103	100	-1
545	0	472.3115	539860	0.008	100	-1
546	0	472.7918	364190	0.0086	100	268
547	0	473.221	195192	0.0078	100	-1
548	0	473.26109	1549066	0.0084	22.2	40
549	0	473.27572	158040	0.0084	2.27	-1
550	0	473.29199	311596	0.0078	100	268
551	0	473.72284	106703	0.009	100	-1
552	0	473.76213	962927	0.0085	100	40
553	0	473.79254	100679	0.0096	100	268
554	0	473.90557	168194	0.0096	100	-1
555	0	474.24033	99528	0.0113	100	-1
556	0	474.26391	201975	0.0066	100	40
557	0	474.28129	357352	0.0076	100	268
558	0	474.53472	285819	0.0081	100	330
559	0	474.57241	106222	0.0097	100	-1
560	0	474.74827	835480	0.0082	11.81	109
561	0	474.76229	120849	0.0277	1.71	40
562	0	474.78265	121988	0.0111	100	330
563	0	474.86791	254073	0.0083	100	363
564	0	475.01237	125498	0.0098	100	-1
565	0	475.20403	191516	0.0072	100	363
566	0	475.25013	346554	0.0085	100	109
567	0	475.75073	278620	0.0084	100	109
568	0	476.23136	278819	0.0085	100	336
569	0	476.25201	115880	0.0116	100	109
570	0	476.56929	106669	0.0091	100	336
571	0	476.73265	130056	0.0122	100	-1
572	0	476.75492	83599	0.0092	100	-1
573	0	476.77144	381417	0.0083	100	257
574	0	476.79414	95699	0.0093	100	-1
575	0	476.88973	98798	0.0094	100	336
576	0	477.27259	199318	0.0085	100	257
577	0	477.55266	294343	0.0091	100	-1
578	0	477.7319	176111	0.0074	100	-1
579	0	477.88593	390344	0.008	100	251
580	0	478.21917	249778	0.0093	100	251
581	0	478.24577	146750	0.0067	100	-1
582	0	478.76044	165971	0.009	100	-1
583	0	479.28299	198455	0.0073	100	-1
584	0	479.7794	171277	0.0098	100	-1
585	0	479.80061	424630	0.0079	100	230
586	0	480.26072	199150	0.0075	100	-1
587	0	480.30199	264375	0.0083	100	230
588	0	480.78155	156950	0.0101	100	-1
589	0	481.58348	129401	0.0101	100	-1
590	0	481.61224	150448	0.0101	100	-1
591	0	481.76921	93138	0.0096	100	-1
592	0	481.91674	168775	0.0101	100	-1
593	0	482.07824	103294	0.0093	100	-1
594	0	482.2147	353307	0.008	100	280
595	0	482.25097	119464	0.01	100	-1
596	0	482.54853	252695	0.0084	100	280
597	0	482.72864	107788	0.0087	100	-1
598	0	482.75205	453012	0.0082	100	-1
599	0	482.88217	106992	0.0094	100	280
600	0	483.25068	576609	0.0089	100	-1
601	0	483.55036	115209	0.0107	100	-1
602	0	483.57979	98512	0.0096	100	283
603	0	483.75006	352473	0.0108	100	283
604	0	484.32438	100880	0.0096	100	-1
605	0	484.55447	94043	0.0097	100	-1
606	0	484.59332	584273	0.0083	100	-1
607	0	484.74388	334862	0.0088	100	25
608	0	484.79866	95699	0.0099	100	-1
609	0	484.90317	265398	0.0085	100	-1
610	0	484.92677	452815	0.0083	100	25
611	0	485.0874	2476934	0.0087	100	25
612	0	485.25874	113482	0.0082	100	25
613	0	485.30164	268032	0.0092	100	349
614	0	485.57902	196298	0.0072	100	-1
615	0	485.62726	147772	0.0089	100	349
616	0	485.78642	320380	0.0082	9.67	-1
617	0	485.80282	225098	0.0085	6.79	-1
618	0	485.91416	160751	0.0081	100	254
619	0	485.92974	110181	0.0076	100	-1
620	0	486.09008	386952	0.0087	100	254
