scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
0,2,263133,431.20213,0.0321,860.91307,860.3908,860.3908,0.007,100,263133,0,,0.83224
0,2,262967,449.73663,0.0578,898.00815,897.45981,897.45981,0.0073,100,262967,0,,0.82007
0,3,287719,746.38553,0.2766,2236.51464,2235.06704,2236.06994,0.0169,2.73,262257,265341,,0.85676
0,2,260039,386.25166,0.0185,770.95626,770.48987,770.48987,0.0059,100,260039,0,,0.81953
0,2,258889,539.2821,0.0568,1075.17416,1074.51742,1074.51742,0.0097,3.33,258889,486168,,0.86786
0,3,257235,578.27932,0.1719,1731.95853,1730.81488,1730.81488,0.0131,100,204026,109603,,0.75296
0,3,256777,750.42399,0.2804,2249.71063,2248.25177,2249.25468,0.0164,100,256777,0,,0.30933
0,2,254915,419.21674,0.0162,836.92784,836.42002,836.42002,0.0066,100,254915,0,,0.78052
0,1,254323,664.37097,0.1037,663.76457,663.36424,663.36424,0.016,100,254323,212171,,0.92746
0,3,254073,474.86791,0.0915,1422.53593,1421.58353,1421.58353,0.0083,100,254073,0,1,0.84993
0,2,253474,498.30261,0.0616,995.19565,994.59175,994.59175,0.0087,100,253474,240493,,0.90662
0,1,250110,645.86447,0.1215,642.2483,641.85129,641.85129,0.0132,100,250110,151649,,0.84176
0,3,249673,510.92141,0.114,1529.76144,1528.74115,1528.74115,0.0095,100,110688,144679,1,0.90555
0,2,246929,634.82587,0.1141,1266.39438,1265.62524,1265.62524,0.0119,100,246929,264166,,0.76454
0,2,243808,340.69378,0.0279,679.78602,679.37412,679.37412,0.0047,100,243808,0,,0.5519
0,1,242710,520.2484,0.2177,519.55736,519.2417,519.2417,0.0086,100,242710,0,,0.86962
0,2,241777,550.27572,0.0337,1099.20969,1098.53799,1098.53799,0.0081,3.42,241777,0,,0.80953
0,3,240289,350.54211,0.1104,1049.24967,1048.60615,1048.60615,0.0056,100,240289,0,,0.38846
0,2,239925,392.25767,0.0074,782.98106,782.50188,782.50188,0.0066,100,239925,0,,0.64302
0,2,238867,601.30604,0.1081,1200.32505,1199.59565,1199.59565,0.0108,100,119103,0,,0.90831
0,2,237379,746.38553,0.2251,1490.73813,1489.744,1489.744,0.0169,2.73,237379,264769,1,0.8663
0,4,1196612,582.30552,0.265,2325.6592,2324.15756,2325.16047,0.0116,13.27,236472,155095,,0.24335
0,1,235032,411.72026,0.2618,408.96358,408.71677,408.71677,0.0073,100,235032,398714,,0.76604
0,2,233469,854.38614,0.1463,1705.87362,1704.74335,1704.74335,0.0214,100,233469,442624,,0
0,2,232111,397.71728,0.1636,793.90397,793.42109,793.42109,0.0064,100,232111,0,1,0.8175
0,2,230270,440.7196,0.1859,879.96223,879.42575,879.42575,0.0069,100,230270,0,,0.27242
0,2,230127,554.78933,0.2954,1108.2398,1107.5652,1107.5652,0.0109,100,230127,0,,0.79446
0,2,493493,525.8126,0.1336,1050.24523,1049.60142,1049.60142,0.011,100,493493,0,1,0.83645
0,2,227642,605.28973,0.1032,1208.30293,1207.56303,1207.56303,0.0119,6.77,186480,0,1,0.91958
0,2,225949,806.39151,0.0468,1609.76509,1608.6921,1608.6921,0.0207,100,225949,266061,,0.37614
0,2,225862,408.24345,0.1592,813.97391,813.47871,813.47871,0.0071,100,225862,0,,0.63664
0,2,223750,416.26204,0.0604,827.99577,827.4893,827.4893,0.0074,2.61,223750,81778,,0.65314
0,1,222495,618.32923,0.0898,614.70162,614.32931,614.32931,0.0159,100,222495,114852,,0.93289
0,2,219472,454.23453,0.1867,906.0024,905.45255,905.45255,0.0078,100,122254,0,1,0.73455
0,2,219050,639.34063,0.0865,1273.3999,1272.61888,1272.61888,0.0132,100,219050,1033580,1,0.48371
0,2,218621,501.78653,0.261,1002.17386,1001.55961,1001.55961,0.0078,100,218621,0,1,0.78527
0,1,217973,521.94082,0.1172,521.24993,520.93412,520.93412,0.0085,100,217973,0,,0.92577
0,2,217840,766.38043,0.1482,1530.76276,1529.74246,1529.74246,0.0154,100,217840,0,,0
0,3,217661,623.97753,0.1826,1870.13968,1868.91242,1869.91531,0.0134,100,217661,0,,0.6418
0,3,217103,510.27776,0.1092,1527.80716,1526.78731,1526.78731,0.0115,4.38,217103,0,,0.80372
0,3,217041,583.25608,0.1555,1746.90033,1745.74513,1745.74513,0.0113,100,177581,0,,0.87844
0,2,214412,392.21171,0.2273,782.88899,782.40995,782.40995,0.0069,100,214412,118422,,0.57064
0,1,213751,462.25805,0.0488,461.53762,461.25134,461.25134,0.0075,100,213751,0,1,0.86356
0,2,212236,628.32703,0.0559,1255.40808,1254.6406,1254.6406,0.0118,100,212236,182914,,0.47537
0,3,211841,399.54042,0.0908,1196.32972,1195.60108,1195.60108,0.0063,100,211841,0,,0.74434
0,2,210908,464.22753,0.1779,927.00378,926.44161,926.44161,0.0101,100,210908,0,,0.87953
0,2,210147,599.28365,0.001,1197.28262,1196.55383,1196.55383,0.0115,100,210147,206841,1,0.82686
0,2,209556,357.74178,0.0135,713.90742,713.47011,713.47011,0.0051,100,209556,0,,0.73121
0,2,209174,457.78184,0.2033,913.12501,912.56496,912.56496,0.0101,100,209174,364549,,0.79514
0,2,242949,578.56984,0.1165,1155.82947,1155.12889,1155.12889,0.0119,100,242949,149856,,0.772
0,1,206935,435.73655,0.0923,434.99186,434.72979,434.72979,0.0065,100,206935,0,1,0.83045
0,2,206462,465.27545,0.1856,928.09687,927.5344,927.5344,0.01,100,112012,0,,0.92039
0,4,206324,424.25815,0.1524,1694.12484,1693.00567,1693.00567,0.0065,100,206324,124726,,0.81601
0,1,205669,684.34196,0.1263,683.74772,683.33522,683.33522,0.0137,100,205669,0,1,0.82959
0,2,271797,493.73261,0.1572,986.05442,985.45172,985.45172,0.0087,100,271797,0,,0.93518
0,2,204797,344.70432,0.0517,687.8177,687.39516,687.39516,0.0051,100,204797,0,,0
0,3,203748,742.30024,0.1274,2225.32631,2223.88053,2224.88343,0.0151,100,203748,185588,,0.53131
